,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
25,artinstitutechi,"Joseph Cornell’s signature “boxes” function as poetic dioramas and intimate theaters—each one a small world unto itself.

Explore Cornell’s alchemy for yourself with a look into one of the world’s largest public collections of his work.

https://t.co/7YzzYCfpbH",2020-05-12 17:10:59,13,34,364708
26,artinstitutechi,"Salvador Dalí was born #OnThisDay in 1904. This playful depiction of the Art Institute is one of a suite of four works on paper from 1971 in which Dalí captures the spirit of Chicago in landmarks around the city.

[©ARS] https://t.co/kVR4U9vBRX",2020-05-11 20:21:44,37,176,364708
27,artinstitutechi,"Happy Mother’s Day! Celebrate the moms in your life with works depicting motherhood from across the museum's collection.

EXPLORE—https://t.co/4y8RCTvzCj https://t.co/tIp3CZlJl6",2020-05-10 19:17:40,28,133,364708
28,artinstitutechi,"Test your knowledge of the Art Institute's collection and beyond with an art-inspired crossword puzzle!

PUZZLE—https://t.co/vKpA3CQ1N7 https://t.co/VP5a0BtNOJ",2020-05-09 20:28:31,16,30,364708
29,artinstitutechi,"Now more than ever, movies are a welcome distraction. Art Institute staff is pleased to share some of their personal picks—films that feature the artists and art we love.

So grab some popcorn, turn down the lights, and don’t forget to silence your phone.

https://t.co/tP3WFVtfvS",2020-05-08 19:46:08,7,32,364708
30,artinstitutechi,"Today the Buddha's birthday, or Buddha Purnima, is celebrated as Vesak in many parts of South and Southeast Asia and around the world.

These works of art from across Asia attest to the enduring power of the Buddha's teachings over the centuries. https://t.co/QSABEQdVfk",2020-05-07 17:51:17,23,64,364708
31,artinstitutechi,"Experience the beauty of this Yoruban post and discover how its many characters all work together to ensure the success of the kingdom.

Our Art Institute Essentials video series lets you get up close with works in the collection: https://t.co/RD2q1qhZu7

https://t.co/KtTaDYU7j7",2020-05-06 19:11:56,2,9,364708
32,artinstitutechi,"""Bauhaus Chicago: Design in the City"" focuses on the little-known work of instructors and students at the New Bauhaus, later known as the Institute of Design (ID).

Students of the ID influenced the 20th-century history of design in the US and beyond: https://t.co/73TgjcIcBD https://t.co/hLekeZ0yyK",2020-05-05 20:49:26,22,60,364708
33,artinstitutechi,"Take a journey through our Thorne Miniature Rooms and learn some of the fascinating stories behind these much-loved tiny interiors.

HIGHLIGHTS—https://t.co/hIyjywLWrH https://t.co/NfXBnLYVtH",2020-05-04 20:28:13,46,202,364708
34,artinstitutechi,"Engage with artworks in ways that aren’t possible in print—and sometimes even in person—from the comfort of your home.

Our free digital publications feature high-resolution, zoomable images, the latest scholarly research, and recent conservation findings: https://t.co/Zwcsgzf0AX https://t.co/MKUotwTARu",2020-05-03 19:11:56,47,118,364708
35,artinstitutechi,"Paws what you’re doing! And spot animals of every stripe represented across our vast collection.

ANIMALS—https://t.co/xpcKn6rNC5 https://t.co/GLwh6Y7Wtr",2020-05-02 22:18:06,12,37,364708
36,artinstitutechi,"Our lions show their love for the city, encouraging Chicagoans to take the necessary steps to protect each other.

We're proud to be a part of the Mayor’s campaign to keep residents healthy and safe. #StayHomeSaveLives #OneMaskAlreadyStolen #NewMaskArrivesToday #DontStealMasks https://t.co/X8MK4n28FQ",2020-05-01 16:07:36,121,488,364708
37,artinstitutechi,"Dig deeper into “Nightlife,” Archibald John Motley Jr.’s electrifying portrayal of a Chicago jazz club. Discover more about its dazzling color palette, compositional tricks, and the fellow Art Institute artwork that inspired it.

https://t.co/Lf8o2BvyiX",2020-04-30 19:30:43,10,16,364708
38,artinstitutechi,"During the Renaissance, earthenware made in Spain with the metallic glaze known as luster was exported far and wide. And the complex process used to produce it was a guarded secret.

Learn more in this interactive feature.

Supported by @BloombergDotOrg
https://t.co/60JaB7xrvO",2020-04-29 22:55:37,18,48,364708
39,artinstitutechi,"""Is there a more mysterious idea than to imagine how nature is reflected in the eyes of animals?"" —Franz Marc

The title of this work—""The Bewitched Mill"" (1913)—refers to the ""magical"" harmony the artist sensed between human life and nature.

EXPLORE—https://t.co/CrD1HuRMMn https://t.co/IVFyVbDz2E",2020-04-29 00:17:00,13,36,364708
40,artinstitutechi,"The Art Institute continually acquires new works by gift or by purchase that expand the stories that we tell in our galleries.

Learn more about recent acquisitions and other highlights from our wide-ranging collection while the museum is closed: https://t.co/6ls6UJIc0q https://t.co/dBcKTiKP2g",2020-04-27 21:21:42,5,38,364708
41,artinstitutechi,"""The 15th-century artists who created this sculpture never could have imagined their work would be viewed this way. But for us, modern science had unexpectedly shown us the dynamism of its form.""

Learn how one work of art inspired another.

https://t.co/ENBMhHaDwD",2020-04-26 19:47:38,10,32,364708
42,artinstitutechi,"These mosaic panels made in the 2nd century were once part of a larger floor in the home of wealthy Romans.

See how conservation restored them to their original colorful appearance in an interactive feature—“A Floor Divided” https://t.co/55GX24tc1d

Supported by @BloombergDotOrg https://t.co/L8zNYiiPdu",2020-04-25 21:45:36,27,113,364708
43,artinstitutechi,"Looking to get creative at home? Tap into your artistic potential with this selection of art-making activities inspired by our collection.

https://t.co/mU2X7soIES",2020-04-24 22:06:25,17,28,364708
44,artinstitutechi,"Miss visiting old favorites in the galleries? Spend some time with Georges Seurat’s timeless pointillist masterpiece, “A Sunday on La Grande Jatte—1884,” and learn more about its enduring mysteries, revolutionary technique, and underlying color theory.

https://t.co/cQrDOCy3Bj",2020-04-24 01:05:57,15,40,364708
45,artinstitutechi,Happy Earth Day! 🌍 Enjoy this selection of artworks reminding us of the wonders of nature and our close connection to the world around us. https://t.co/zwSRHZlG3n,2020-04-22 22:59:03,66,226,364708
46,artinstitutechi,"With time, patience, and the latest technology, conservators ensure an afterlife for an unnamed mummy in the Art Institute's collection.

https://t.co/8WPNco6223",2020-04-21 19:40:02,6,31,364708
47,artinstitutechi,"Though Henri Rousseau depicted distant locales, he never set foot outside France. His visionary paintings were informed by photographs and visits to the Paris zoo and botanical gardens.

You can see the precision of his work in ""The Waterfall."" What details grab your attention? https://t.co/CxTDZKF4OA",2020-04-20 20:00:11,20,71,364708
48,artinstitutechi,"Among the most prized possessions of a Viking warrior, swords were imbued with characters of their own and often given names.

In this interactive feature, we take a closer look at ""The Art of the Viking Sword.""

EXPLORE—https://t.co/ly8i8rT9LY

Supported by @BloombergDotOrg https://t.co/gCqgqMCqFl",2020-04-19 20:02:02,10,54,364708
49,artinstitutechi,"Looking to get creative at home? Our collection is a perfect place to find inspiration.

Get started with these creative writing prompts and tap into your artistic potential.

https://t.co/DltIh4nAuG",2020-04-18 16:38:10,18,63,364708
50,artinstitutechi,"Mary Cassatt’s representations of mother and child feel both traditional and modern.

Explore her life and work in ""Cassatt’s Modern Vision of the Everyday: The Child’s Bath.""

EXPLORE—https://t.co/V5RkzGf73M https://t.co/SMwtJQVwZQ",2020-04-17 21:04:12,30,83,364708
51,artinstitutechi,"In the late 1960s, Japanese artist Noda Tetsuya began a series of prints that continues to this day.

In our exhibition, ""Noda Tetsuya: My Life in Print,"" these works—each titled ""Diary"" followed by a date—capture the large and small moments of Noda's life https://t.co/cmDUbrIgtT https://t.co/NDWywD5QL5",2020-04-16 21:30:49,11,57,364708
52,artinstitutechi,"Our holdings of late 19th-century French Impressionist art are among the largest and finest in the world and feature some of the most well-known works in the museum.

Explore highlights from our wide-ranging collection while the museum is closed: https://t.co/sIoSV2XFJn https://t.co/IDv7aCZlcw",2020-04-15 17:39:56,51,170,364708
53,artinstitutechi,"In the 1950s, suffragist and philanthropist Katharine Dexter McCormick had an idea for a public garden. It would be no ordinary garden—and she was no ordinary woman.

Learn more about this place of tranquility in “How Our North Garden Grew”—https://t.co/jpG5rFuzQI https://t.co/4skjmMElVc",2020-04-14 20:00:56,21,78,364708
54,artinstitutechi,"Decode the hidden meaning of symbols long used by the ancient Egyptians—in this interactive feature, “Symbols for the Afterlife: Reading a Mummy Mask.”

EXPLORE—https://t.co/Kg6wIfGzWS

Supported by @BloombergDotOrg https://t.co/kJOhT1RZTC",2020-04-13 21:15:42,7,36,364708
55,artinstitutechi,"While the museum is closed, one conservator brings the tools of her trade to a pressing matter at home—broken toys.

Learn more about bonding with glues, epoxies, and the people we love.

https://t.co/uaubKjTlzL",2020-04-11 18:03:04,6,16,364708
56,artinstitutechi,"Make art with the Art Institute!

The artists whose works are featured in ""Intimate Modernity"" drew on interior scenes—to experiment with color, form, and atmosphere.

We’re seeing a lot of interior scenery these days. Create a drawing of your own domestic space and reply below! https://t.co/iJFrpMnuCp",2020-04-10 19:12:38,24,91,364708
57,artinstitutechi,#TBT @joffreyballet dancers from Christopher Wheeldon’s Degas–inspired production of 'Swan Lake' bring the artist’s work to life in the Art Institute’s Impressionist galleries. https://t.co/hatNN5HuE0,2020-04-09 18:10:13,51,228,364708
58,artinstitutechi,"The Art Institute was the first museum in the US to assemble a significant collection of modern art and to put it on permanent display.

Today these holdings are among the finest in the world. Explore collection highlights while the museum is closed: https://t.co/LR5Dx2tZOF

©ARS https://t.co/UsbrUkIHxP",2020-04-08 21:01:59,52,157,364708
59,artinstitutechi,"""The Assumption of the Virgin"" was not only a bold step forward in El Greco’s artistic ambitions but a way for him to make a name for himself. And it worked.

Follow the painting from career-launching triumph to the centerpiece of ""Ambition and Defiance.""
https://t.co/mBgE1WCsnH",2020-04-07 17:26:28,11,46,364708
60,artinstitutechi,"Fashionable as well as functional, this battle-ready armor, the product of many hands, has withstood the test of time.

In this interactive feature—""Forged in Steel""—trace the many steps taken to make this elaborate armor: https://t.co/eWUA7qBJV0

Supported by @BloombergDotOrg https://t.co/DyIWdQgC0y",2020-04-06 17:55:25,6,30,364708
61,artinstitutechi,"Vincent van Gogh’s work often signifies a profound solitude, the artist alone with his thoughts.

But even in his solitude, he drew comfort from his paintings—awash in color, bathed in light, suffused with compassion, presence, and life.

https://t.co/QUjnOgRGNp",2020-04-05 19:30:04,78,244,364708
62,artinstitutechi,"In this interactive feature, meet the men who shaped the museum’s early collection and discover how this distinctive vase from ancient Greece came to exemplify the Chicago Painter’s hallmark style.

EXPLORE—https://t.co/Yi2QH5UqfW

Supported by @BloombergDotOrg https://t.co/jSNsARkauX",2020-04-04 23:17:25,21,49,364708
63,artinstitutechi,"You can recognize a painting by El Greco from a room away. The eerie, elongated figures, the ultra-saturated colors—no other artist painted like that.

But El Greco didn’t always paint in this bold style. Discover how he found his singular artistic vision.
https://t.co/9rWzRgBLhl",2020-04-03 17:41:45,17,91,364708
64,artinstitutechi,"So what do we do with our history? It’s a question that curators here ask all the time, and one that artist Ana De Orbegoso asks as well—¿Y qué hacemos con nuestra historia?—in a recent series of works by that title. Learn more about this new acquisition.

https://t.co/ZRjRR1w2ri",2020-04-02 17:20:30,5,24,364708
65,artinstitutechi,"The Art of Quarantine enlists some of the Art Institute’s most iconic paintings in the effort to promote social distancing.

Artists Jeff Roy and Drake Paul include ""Nighthawks"" and ""La Grande Jatte"" among their stark and inspired re-creations at https://t.co/OWXaH5ksIr https://t.co/BbU3I2LLwx",2020-04-01 17:28:46,272,545,364708
66,artinstitutechi,"“Malangatana: Mozambique Modern” was scheduled to open this month, presenting the early work of modern artist Malangatana Ngwenya.

We look forward to presenting the exhibition when the museum reopens, but until then, learn more about Malangatana online: https://t.co/T7vGOaHlk6 https://t.co/RjaAtTnqgr",2020-03-31 22:05:59,10,48,364708
67,artinstitutechi,"Born #OnThisDay—When Vincent van Gogh moved into his ""Yellow House"" in 1888, it marked the first time the artist had a home of his own.

Arguably the most famous depiction of a bedroom in the history of art, this painting evokes Van Gogh's constant search for a place to belong. https://t.co/e5nI91agjD",2020-03-30 20:54:14,77,288,364708
68,artinstitutechi,"Shown in the classic posture, with his eyes cast downwards, this Buddha is seated with his legs in the meditating posture of padmasana, or lotus position, and hands on his lap.

Join us as we take a closer look at the largest Buddha in the mainland US.

https://t.co/8a9eijgnnl",2020-03-28 17:34:00,14,65,364708
69,artinstitutechi,"Engage with artworks in ways that aren’t possible in print—and sometimes even in person—from the comfort of your home.

The Art Institute’s digital catalogues are free full-length publications that invite you to zoom in, layer, and immerse yourself in art.
https://t.co/VlF7qQpGXG",2020-03-27 16:46:05,33,66,364708
70,artinstitutechi,"As soon as we open our eyes, the light in the window colors how we approach our day.

Explore ways artists have approached the heavens and see how—whether clear, overcast, or threatening storms—the sky is a dramatic visual character in our daily stories.

https://t.co/2atEEIHRJL",2020-03-26 17:30:32,14,58,364708
71,artinstitutechi,"While the museum's closed, take a virtual tour of ""El Greco: Ambition and Defiance.""

The curatorial team leads you through the galleries to share some of the reasons El Greco and his work continue to fascinate us.

https://t.co/j8Wr43Lk4V",2020-03-25 18:43:35,23,80,364708
72,artinstitutechi,"""Nighthawks"" has long been positioned as the iconic painting of loneliness and alienation. But what if Hopper’s work spoke to a need for social connection in a time of fear and isolation?

""Nighthawks as Hope: A Curator Muses on Edward Hopper and Crisis.""
https://t.co/gsaXMbyPFi",2020-03-24 15:38:49,136,333,364708
73,artinstitutechi,"This headdress represents the universal mother as an ideal of the female role in society.

In our latest interactive feature, take a closer look to see how its appearance encompasses choreography, music, and performance: https://t.co/pxKmg8N5sP

Supported by @BloombergDotOrg https://t.co/QeHedPD987",2020-03-23 21:20:04,8,35,364708
74,artinstitutechi,"""Sunday in the Park with George"" was first produced on Broadway in 1984, 100 years after Seurat began his most famous painting.

On Stephen Sondheim’s 90th birthday, a communications editor dives into that 'other reason' she loves Seurat’s painting.

https://t.co/lzPHO3Vsi3",2020-03-22 17:04:31,40,129,364708
75,artinstitutechi,"Carousels harken back to a bygone era. In one of our new interactive features, find out how the conservation of this wooden carousel horse offers a glimpse into its colorful history.

EXPLORE—https://t.co/G3xgH6mMgj

Supported by @BloombergDotOrg https://t.co/HZUkm87Nea",2020-03-20 21:39:23,11,47,364708
76,artinstitutechi,"Though called ""Twilight,"" there is no hint of the approaching night in this painting. The landscape is so vivid and intense that it’s tempting to call it a sunscape.

Join us as we take a closer look at this exuberant work by artist Hale Woodruff.

https://t.co/uiYPuI3uV2",2020-03-20 18:31:12,17,68,364708
77,artinstitutechi,"It’s the first day of spring! 🌸

We hope this selection of Art Institute works evoking springtime brightens your day. 💐

[©ARS] https://t.co/4BNRiLSVnX",2020-03-19 18:02:22,67,229,364708
78,artinstitutechi,"While the museum is closed, we hope to offer dynamic ways of engaging with art on our gallery walls.

Peel back the layers of ""The Assumption of the Virgin,"" the centerpiece of our exhibition ""El Greco: Ambition and Defiance""—https://t.co/5WVZ3RKvGC

Supported by @bloombergdotorg https://t.co/r6WeUhemA5",2020-03-18 22:19:52,27,86,364708
79,artinstitutechi,"The Hudson River School sought to inspire in viewers an awe of nature. For these American artists, landscape painting reflected a belief in the spiritual power possessed by the natural world.

Enjoy this selection of 19th-century paintings by artists of the Hudson River School. https://t.co/NZ6xbSeWoL",2020-03-18 20:13:19,34,125,364708
80,artinstitutechi,"The river has run green every year since 1962, as Chicagoans celebrate St Patrick's Day the only way we know how—celebrations across the city!

The river might not be green this year, but let's plan on making the next St. Patrick's Day one to remember. Here's to you, Chicago! 🍀 https://t.co/hvJmzMK6sw",2020-03-17 17:50:59,27,126,364708
81,artinstitutechi,"In times of uncertainty, art serves as an important reminder of our collective need for creativity and community. While the museum is temporarily closed, we hope you find inspiration each day as we continue to share our collection and exhibitions with you: https://t.co/7550E7Nztn https://t.co/LLnn00862Y",2020-03-16 22:14:39,67,213,364708
82,artinstitutechi,"Because the health and safety of the Art Institute community is our highest priority, the museum is closed for two weeks, March 14–28.

We will take this opportunity to develop enhanced standards/protocols in response to the escalating impact of COVID-19: https://t.co/Th58cFpZfB https://t.co/uAnkFaMjGB",2020-03-13 19:47:41,25,58,364708
83,artinstitutechi,"A core member of the Impressionists, Berthe Morisot was the only woman to be exhibited in seven of the eight Impressionist group exhibitions between 1874 and 1886.

See ""Woman in a Garden"" and other works by Berthe Morisot on view at the Art Institute: https://t.co/X30zUfaubU https://t.co/5ghwUBHFb0",2020-03-12 19:00:01,14,57,364708
84,artinstitutechi,"#TBT Katharine Kuh—our first curator of Modern art—meets with Marcel Duchamp on the Grand Staircase, 1951.

Kuh was already a pioneer of Modern art before coming to the Art Institute, opening Chicago's first avant-garde art gallery in 1935. She joined the museum's staff in 1944. https://t.co/qtgUpkyd4Q",2020-03-12 15:00:01,10,66,364708
85,artinstitutechi,"@roxyosounds @LidoPimienta No museum admission ticket is required to see Lido Pimienta on Friday, just the event ticket ($10 for nonmembers). Apologies for the confusion. Enjoy the show!",2020-03-11 20:37:55,0,4,364708
86,artinstitutechi,"The Greek imagination was populated with a number of strange creatures.

These part-human, part-horse silenoi represented the hedonistic desires released by the magical elixir of the wine god Dionysos, known to the Romans as Bacchus. #NowOnView

LEARN MORE—https://t.co/CXzywXiHkv https://t.co/7vm0eZqKrg",2020-03-11 16:40:00,9,32,364708
87,artinstitutechi,"Vaginal Davis is a key figure in the history of queer music, performance, and video art.

Her touchstone work—""The White to be Angry"" (1999)—embraces ambiguity and extravagant dark humor, creating an image of America that remains unnervingly topical today: https://t.co/B8t1MOdR90 https://t.co/M1m8OukSwD",2020-03-11 15:00:01,4,20,364708
88,artinstitutechi,"Cecilia Beaux's 1898 painting ""Dorothea and Francesca"" is innovative in its portrayal of spontaneous movement. The fluid brushstrokes and use of subtle color accurately convey motion as the girls concentrate on their dance steps. #NowOnView

LEARN MORE—https://t.co/0Ex6jnnPYd https://t.co/IlFNt09XyS",2020-03-10 20:00:01,18,72,364708
89,artinstitutechi,"The wide range of vegetal, geometric, and animal motifs that tribal jewelers wrought into silver and gold reflects the diverse functions and varied origins of these artworks.

See ""Adornment: Jewelry of South Asia’s Nomadic Cultures"" at the Art Institute: https://t.co/GzuNaqbqz8 https://t.co/CSjP9ang98",2020-03-10 18:42:53,8,27,364708
90,artinstitutechi,"""Color is life and light is the mother of color."" —Alma Thomas

Alma Thomas turned to abstraction in her seventies, creating shimmering, mosaic-like fields of color with rhythmic dabs of paint.

Learn more about ""Starry Night and the Astronauts"" #NowOnView https://t.co/ZEkO5Wvbkw https://t.co/XtlVRYAPy0",2020-03-09 21:36:13,27,83,364708
91,artinstitutechi,"This Friday! @LidoPimienta’s deeply political music and famously interactive live shows are powered by glittering synths and influenced by Afro-Colombian singing and drumming styles.

See Lido Pimienta perform live at the Art Institute!

TICKETS—https://t.co/lkdR9zldkI https://t.co/FfWElXvqox",2020-03-09 18:36:37,2,14,364708
92,artinstitutechi,"His audacious style and rebellious spirit made him a poster boy for the 20th-century avant-garde.

Explore El Greco's legacy with over 50 works now on view at the Art Institute.

https://t.co/dutQDjBvFj",2020-03-09 15:55:23,19,53,364708
93,artinstitutechi,"NOW OPEN—""El Greco: Ambition and Defiance""

TICKETS—https://t.co/zshyyOOhw1

Ambitious, relentless, and forward-thinking—the artist known simply as El Greco had a singular artistic vision that continues to resonate today. Explore his legacy with over 50 works now on view. https://t.co/HwNqCQ0u8M",2020-03-07 16:00:01,24,75,364708
94,artinstitutechi,"OCTOBER 30—Concert: Ólafur Arnalds

Tickets now on sale! Ólafur Arnalds performs at the Art Institute as part of his final set of shows for his groundbreaking “re:act” tour. 

TICKETS—https://t.co/abG8gZbl4F

Presented with @ThaliaHallChi https://t.co/iUg1GR48js",2020-03-06 15:00:00,0,10,364708
95,artinstitutechi,"In her 70s, Georgia O’Keeffe traveled in a plane for the first time and was fascinated at the view looking down on the earth. She began a series featuring endless expanses of clouds, culminating in the monumental ""Sky above Clouds IV.""

NOW ON VIEW—https://t.co/O6SzO4eof1

[©ARS] https://t.co/TCEOtjtwWA",2020-03-05 17:26:23,26,118,364708
96,artinstitutechi,"Spring Break plans? Your picture-perfect Chicago adventure starts at the Art Institute.

TICKETS—https://t.co/I8fii9eWVz https://t.co/N71bHSJkmq",2020-03-05 16:35:01,7,40,364708
97,artinstitutechi,@skookum_jimbo This portrait was made in wax on plaster with pigment. More info at the link below. Thanks! https://t.co/ELW9foi8mj,2020-03-05 14:31:12,1,2,364708
98,artinstitutechi,"In 1910 Malvina Hoffman saw the famed Russian ballerina Anna Pavlova perform in London, a profound experience that led to their close friendship.

In ""Head of Pavlova"" Hoffman created a restrained, almost melancholic portrait, giving her friend an ethereal, even sacred presence. https://t.co/8mZ64tpqaN",2020-03-04 20:57:47,12,61,364708
99,artinstitutechi,"NOW OPEN—""PHOTOGRAPHY + FINE ART: Material Meanings—Selections from the Constance R. Caplan Collection""

""Material Meanings"" brings 30 outstanding works to Chicago for the first public showing of the private collection of Constance R. Caplan.

LEARN MORE—https://t.co/HECXmphOhP https://t.co/x3OMBbFuDJ",2020-03-03 22:54:31,5,29,364708
100,artinstitutechi,"NEW ACQUISITION—Sarasvati—the Hindu goddess of learning, wisdom, and the arts—is equally worshipped by Hindus, Buddhists, and Jains.

She is one of the few goddesses mentioned in the Vedas—the oldest texts of Hinduism—and carried over into later Hinduism. #NowOnView https://t.co/2tLHZ6esvL",2020-03-03 19:40:50,15,76,364708
101,artinstitutechi,"APRIL 22–25: Performances: The Seldoms—Floe

On the 50th anniversary of Earth Day, Chicago-based dance company @The_Seldoms performs ""Floe,"" a work focused on climate instability—by turns irreverent and elegiac.

TICKETS—https://t.co/XobUB7Cnyx https://t.co/2oJ5Hmpd0Y",2020-03-03 16:31:18,4,7,364708
102,artinstitutechi,"Emilie Charmy was a self-taught painter and among the first women to exhibit work in the Fauvist style.

""L'Estaque"" first came to the Art Institute in 1913 as part of the historic Armory Show, introducing many Americans to the work of European Modernists for the first time. https://t.co/h5ZvoW8VuY",2020-03-02 22:27:19,18,94,364708
