,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
32,DIADetroit,"First gaining notoriety with appearances on Johnny Carson’s Tonight Show, Tom Noddy has been playing with bubbles and performing around the world to entertain audiences with a delightful combination of science, humor, and fun. Join us at 2 p.m. for a special bubble performance! https://t.co/kY51ARrjWR",2020-06-13 13:01:42,3,17,176015
33,DIADetroit,"We will host ""create at home"" art-making, with kite-making guides as well — be sure to tune in!
Visit the link in our bio to register.",2020-06-12 16:25:55,0,4,176015
34,DIADetroit,"Just like last year, this all ages event will have something for everyone. The day will be packed with live-stream demos and performances, virtual art tours, and opportunities to join instructors in classes to make art at home.",2020-06-12 16:25:55,0,3,176015
35,DIADetroit,"It's that time again… The 2nd Annual SUPER SatARTday is going virtual😁join us online to celebrate art and artists in Macomb County and beyond! In collaboration with the Anton Art Center, join us (from home) for Super SatARTday tomorrow, June 13 from 11 a.m. - 4 p.m. https://t.co/vLvDVg61kk",2020-06-12 16:25:55,6,7,176015
36,DIADetroit,"This annual exhibition showcases hundreds of imaginative works created by DPSCD students and selected by a jury of DPSCD art educators and DIA staff. The artworks include ceramics, painting, drawing, fiber, sculpture, photography, digital art, jewelry, mixed-media and video.",2020-06-11 21:54:24,0,4,176015
37,DIADetroit,The 83rd Annual Detroit Public Schools Community District (DPSCD) Student Art Exhibition is live! Visit the link in our bio to watch the full exhibition. #AtHomeDIA https://t.co/w9dKDF2qJX,2020-06-11 21:54:24,3,15,176015
38,DIADetroit,"Join us this Saturday, June 13 at 10 a.m. for a Microsoft-Live, educator-exclusive event focusing on the 3 “R”s of self-care: Refresh, Restore, and Revitalize! Learn more here: https://t.co/kGCi3TVeZT

Visit the link in our bio to register!",2020-06-10 21:06:48,0,2,176015
39,DIADetroit,Join cartoonist and New York Times bestselling author Jeffrey Brown tonight at 6 p.m. for a special online video chat! Visit https://t.co/u4s2Ta9S7n to learn more.,2020-06-09 20:06:54,1,2,176015
40,DIADetroit,"Our scientist carried out SEM/EDX @umichLSA EMAL to determine pigments used in our Artemisia Gentileschi painting. We found 2 different iron-based earth browns, like brown umber, were used in the painted brown background- one rich in manganese and the other not.  #ArtemisiaDIA https://t.co/AXsnlEqVIo",2020-06-08 21:07:48,3,17,176015
41,DIADetroit,"🖼 ""James Baldwin in setting sun over Harlem, Harlem, New York"", 1979, Ming Smith, gelatin silver print, Museum Purchase, Albert and Peggy DeSalle Charitable Trust, DIA no. 2017.12. #ArtOfRebellion #BlackArtists",2020-06-07 20:33:38,0,5,176015
42,DIADetroit,"This artwork was featured in the DIA's 2017 exhibition, ""Art of Rebellion: Black Art of the Civil Rights Movement.""",2020-06-07 20:33:38,1,7,176015
43,DIADetroit,"Here, Smith used multiple exposures to combine two different photographs: an image of Baldwin, and one of Harlem, where he grew up. The result is an image of Baldwin hovering over the Harlem skyline like a protective heavenly spirit.",2020-06-07 20:33:38,0,3,176015
44,DIADetroit,"The ethereal image pays homage to the widespread influence of internationally acclaimed writer James Baldwin, whose essays frankly confronted racism while his novels portrayed the struggles, relationships, and dreams of African Americans.",2020-06-07 20:33:38,1,3,176015
45,DIADetroit,"Born in Detroit, artist Ming Smith has photographed many important Black cultural figures, including Alvin Ailey and Nina Simone, throughout her career. She created ""James Baldwin in setting sun over Harlem, Harlem, New York"" in 1979. https://t.co/pYVwUJgMcO",2020-06-07 20:33:37,20,49,176015
46,DIADetroit,"🖼 ""The 1920's… Migrants Arrive and Cast Their Ballots"", 1974, Jacob Lawrence, screenprint printed in color on wove paper, DIA no. 76.54. #ArtOfRebellion #BlackArtists",2020-06-07 02:37:57,1,4,176015
47,DIADetroit,"""The 1920's… Migrants Arrive and Cast Their Ballots"" was featured in the DIA's 2017 exhibition, ""Art of Rebellion: Black Art of the Civil Rights Movement.""",2020-06-07 02:37:57,0,6,176015
48,DIADetroit,"Lawrence is widely known for his 'Migration' series, a collection depicting the movement of African-Americans from the rural South to the urban North between World War I and World War II.",2020-06-07 02:37:56,1,4,176015
49,DIADetroit,"To Lawrence and others, independence meant exercising one’s right as an American to vote without being subject to intimidation through arbitrary tests, poll taxes, and sometimes violence.",2020-06-07 02:37:56,1,3,176015
50,DIADetroit,"Lawrence combined social realism, bold color, and vivid narrative to show a group of African American migrants from southern states casting their ballots at a polling location in the north.",2020-06-07 02:37:55,0,14,176015
51,DIADetroit,"Artist Jacob Lawrence created ""The 1920's… Migrants Arrive and Cast Their Ballots"" in 1974. The artwork illustrates a response to the question, ""What does independence mean to you?"" for a portfolio meant to commemorate the 200th anniversary of the United States in 1976. https://t.co/UK7BJpFVsK",2020-06-07 02:37:54,31,75,176015
52,DIADetroit,"This artwork was featured in the DIA's 2017 exhibition, ""Art of Rebellion: Black Art of the Civil Rights Movement.""
🖼 ""Ancestral Memory"",1966, Hale Woodruff, oil on canvas, DIA no. 78.87. #ArtOfRebellion #BlackArtists",2020-06-05 20:15:03,0,2,176015
53,DIADetroit,"Woodruff created “Ancestral Memory” for the exhibition ""Art of the American Negro"" presented at the First World Festival of Negro Arts held in Dakar, Senegal in 1966. During this time, many African countries were gaining their independence from European colonial rule.",2020-06-05 20:15:03,0,3,176015
54,DIADetroit,"While Woodruff appreciated African art's significance in his heritage, he also recognized the fundamental role it played in the development of modern Western art.",2020-06-05 20:15:02,0,1,176015
55,DIADetroit,"The surrounding shapes derive from African symbols and decorative forms. Through this painting, Woodruff addresses the creative and symbolic legacy of Africa for the history and culture of African Americans.",2020-06-05 20:15:02,0,2,176015
56,DIADetroit,"Artist Hale Woodruff created ""Ancestral Memory"" in 1966. Here, the central image is a schematic representation of the continent of Africa, rendered in intense red and animated by a human face incorporated into the form. https://t.co/mPrwz0JMy6",2020-06-05 20:15:00,6,20,176015
57,DIADetroit,"Although Catlett had lived and worked in Mexico, her art was highly admired by artists engaged in the Black Arts Movement.",2020-06-04 19:17:54,1,3,176015
58,DIADetroit,This blending of distinctive characteristics speaks to the enriching potential of diaspora and an inherent human dignity that transcends ethnic and national differences.,2020-06-04 19:17:54,1,2,176015
59,DIADetroit,"While the rounded head shape and high cheekbones resemble those of the colossal stone heads made by the Olmec people of southern Mexico (between 1200 and 400 BCE), the generous features and hair texture evoke a beauty of African descent.",2020-06-04 19:17:54,0,1,176015
60,DIADetroit,"With this sculpture, Catlett experimented with form and emphasis on ethnicity to make statements about the complexity of identity.",2020-06-04 19:17:53,0,1,176015
61,DIADetroit,"Artist Elizabeth Catlett created ""Terra-Cotta Head"" in 1960. Throughout her career, Catlett's work addressed two compelling issues: social justice and the lives of women. When the DIA is open, “Terra-Cotta Head” is on view in our African American galleries. https://t.co/HotJUNVXlp",2020-06-04 19:17:53,23,38,176015
62,DIADetroit,"🖼 ""Queen Mother Helen Moore"", 2015, Mario Moore, oil on copper, DIA no. 2017.51. #ArtOfRebellion #BlackArtists",2020-06-03 19:15:05,0,4,176015
63,DIADetroit,"This intimate portrait — symbolizing the protection and power provided by the women in Moore's family — depicts his grandmother Helen Moore, a Detroit education activist, proudly displaying framed photographs of men in her family.",2020-06-03 19:15:05,2,5,176015
64,DIADetroit,"Artist Mario Moore created ""Queen Mother Helen Moore"" in 2015. This artwork was featured in the DIA's 2017 exhibition, ""Art of Rebellion: Black Art of the Civil Rights Movement."" https://t.co/nHBeinSdmH",2020-06-03 19:15:05,7,19,176015
65,DIADetroit,"We stand in solidarity with the people of Detroit and those around the world appealing for an end to racism, inequality, brutality and fear. The DIA commits to serving as a place of inclusion, diversity and equity for everyone in our community and beyond. #BlackoutTuesday https://t.co/Tov7MoJUCf",2020-06-02 18:28:22,8,58,176015
66,DIADetroit,"We believe in the restorative power of art, and look forward to reopening our galleries for communal healing and enrichment. 2/2",2020-06-02 00:47:52,7,40,176015
67,DIADetroit,"We stand in solidarity with the people of Detroit and those around the world appealing for an end to racism, inequality, brutality and fear. The Detroit Institute of Arts commits to serving as a place of inclusion, diversity &amp; equity for everyone in our community and beyond. 1/2 https://t.co/fk9PDev4YG",2020-06-02 00:47:52,26,108,176015
68,DIADetroit,"🖼 ""Revolutionary"", 1972, Wadsworth Jarrell, screenprint printed in color on white wove paper, Gift of the Azzi/Lusenhop Black Arts Movement Collection. #ArtOfRebellion #BlackArtists",2020-06-01 18:31:50,0,1,176015
69,DIADetroit,"The bright colors and bold lettering Jarrell uses in ""Revolutionary"" are signature elements used by artists who worked in the Collective.",2020-06-01 18:31:50,0,2,176015
70,DIADetroit,"His work became distinguishable for its provocative and vibrant character, as well as for the artist's loyalty to African symbolism and geometric patterns.",2020-06-01 18:31:49,0,0,176015
71,DIADetroit,Wadsworth Jarrell is a founding member of AfriCOBRA — a collective of African American artists formed in Chicago in 1968 as a response to the Civil Rights Movement.,2020-06-01 18:31:49,0,0,176015
