,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
21,frickcollection,"Happy Friday! Celebrate the start of the weekend with a serving of Cocktails with a Curator. The next episode is premiering NOW at https://t.co/kh8NA8a1GW.
—
Diego Velázquez, King Philip IV of Spain, 1644. Oil on canvas #FrickCollection https://t.co/33IYVcRKfz",2020-05-22 20:52:04,8,36,116009
22,frickcollection,"Join the #FrickLibrary on May 29 at 4:00 p.m. for a virtual tutorial and Q&amp;A on Frick Digital Collections.

This freely accessible digital repository allows users to browse and download over 20,000 digitized materials from our collections.

Register: https://t.co/s9CBJGhYpt https://t.co/9XGQcyZviy",2020-05-22 15:16:07,12,23,116009
23,frickcollection,"The revolutionary printmaker and painter Albrecht #Dürer was born #onthisday in 1471. Influenced by the Italian Renaissance, Dürer was fascinated by the human form. His mastery is demonstrated in this 1504 engraving.
—
Albrecht Dürer, Adam and Eve, 1504. Engraving#FrickCollection https://t.co/gKZJw4lDvF",2020-05-21 16:46:43,10,28,116009
24,frickcollection,"Take a meditative moment with today's #FrickPick feature, brought to us by the masterful #Monet. 

Which Frick works of art would you like to see? Nominate your #FrickPick.
—
Claude-Oscar Monet, Vétheuil in Winter, 1878−79. Oil on canvas #FrickCollection https://t.co/WuYpUJ76ar",2020-05-20 15:08:03,6,20,116009
25,frickcollection,"Now's your chance to try out a new hairstyle. Why not revive a renaissance 'do?
⁠—
Sperandio di Bartolommeo Savelli (Italian), Giovanni II Bentivoglio, Lord of Bologna, ca. 1485. Copper alloy, cast #FrickCollection https://t.co/2DWt0tNNQQ",2020-05-19 15:33:58,10,28,116009
26,frickcollection,"Happy #InternationalMuseumDay! Thank you to our community of Frick fans who are sharing this time with us by engaging and participating in our #MuseumFromHome offerings.
—
The Garden Court #FrickCollection https://t.co/xocMUQ1tnz",2020-05-18 19:01:49,21,131,116009
27,frickcollection,"Follow along with the Frick as we remotely reconnect with colleagues and friends to ask them the same set of five questions. Funny, illuminating, and thought-provoking—this is the #FrickFive. 

Watch the inaugural episode ⬇️
https://t.co/7Mqn33ElSc",2020-05-17 15:13:02,3,8,116009
28,frickcollection,"A quick #FrickPick pick-me-up!

This ""Progress of Love"" panel by #Fragonard depicts a young woman crowning her lover with roses.🌹

What is your #FrickPick?
—
Jean-Honoré Fragonard, The Progress of Love: The Lover Crowned, 1771–72. Oil on canvas (lined) #FrickCollection https://t.co/3X0qRiliAa",2020-05-16 15:18:03,9,49,116009
29,frickcollection,"@TimeToCook I believe it is posted in advance each week on the web page for ""Cocktails with a Curator""  Cheers!",2020-05-16 00:56:45,0,0,116009
30,frickcollection,"Lounging around with nothing to do? Tune in now for the premiere of this week's Cocktails with a Curator at https://t.co/Zzo1h2jbpj.
—
François Boucher, A Lady on Her Day Bed, 1743. Oil on canvas #FrickCollection https://t.co/shrjXzcDVW",2020-05-15 20:54:03,13,42,116009
